name,phone,type,character,loan_his,bank,amount,term,address,lat,lon,notes,time_visit,image_path,timestamp
Customer 757,0100756,Fashion & Clothing,Talkative and Engaging,Once,ABA,6537.92,6M,"Street 36, Phnom Penh",11.557149484367004,104.86012830553626,Repeat visit,10:00 AM,,2025-05-24 01:23:52
Customer 758,0100757,Street Food Stall,Skeptical or Distrustful,Many times,ACLEDA,9582.01,24M,"Street 87, Phnom Penh",11.587287622988699,104.87644481033377,Repeat visit,11:00 AM,,2025-05-28 01:23:52
Customer 759,0100758,Agriculture/Farming,Quiet and Reserved,Many times,ACLEDA,2365.08,24M,"Street 384, Phnom Penh",11.520917195980825,104.87957937409868,Interested,7:00 AM,,2025-05-26 01:23:52
Customer 760,0100759,Electronics & Appliances,Hard to Understand,Never,ACLEDA,4507.17,24M,"Street 376, Phnom Penh",11.551652315133628,104.9198681209008,Repeat visit,2:00 AM,,2025-06-16 01:23:52
Customer 761,0100760,Fashion & Clothing,Skeptical or Distrustful,Many times,ABA,2479.45,18M,"Street 59, Phnom Penh",11.54027351086761,104.93659149633807,Repeat visit,2:00 AM,,2025-06-15 01:23:52
Customer 762,0100761,Beauty Salon,Interested but Cautious,Once,Cambodia Post Bank,6468.9,24M,"Street 17, Phnom Penh",11.56112604185917,104.9400819698774,Need follow-up,5:00 AM,,2025-06-10 01:23:52
Customer 763,0100762,Tourism/Hospitality,Very Welcoming,Once,ACLEDA,5054.41,12M,"Street 151, Phnom Penh",11.531770524529307,104.85601346554863,Need follow-up,3:00 AM,,2025-06-08 01:23:52
Customer 764,0100763,Tourism/Hospitality,Busy or in a Hurry,Never,ABA,3923.3,24M,"Street 204, Phnom Penh",11.586732270073222,104.87259108078102,Need follow-up,11:00 AM,,2025-06-20 01:23:52
Customer 765,0100764,Electronics & Appliances,Aggressive or Pushy,Many times,ABA,1143.03,24M,"Street 334, Phnom Penh",11.532897673509563,104.85364868805135,Repeat visit,12:00 AM,,2025-06-20 01:23:52
Customer 766,0100765,Repair Services,Interested but Cautious,Many times,None,6345.44,18M,"Street 202, Phnom Penh",11.578800362916034,104.85550221356218,Need follow-up,6:00 AM,,2025-06-11 01:23:52
Customer 767,0100766,Repair Services,Very Welcoming,Never,ABA,6806.91,24M,"Street 268, Phnom Penh",11.534184382893484,104.86225060141994,Need follow-up,12:00 AM,,2025-05-25 01:23:52
Customer 768,0100767,Agriculture/Farming,Friendly and Open,Never,Cambodia Post Bank,3908.5,12M,"Street 406, Phnom Penh",11.580280071706385,104.92205130756166,No answer,3:00 AM,,2025-06-07 01:23:52
Customer 769,0100768,Fashion & Clothing,Talkative and Engaging,Never,ABA,3930.99,24M,"Street 239, Phnom Penh",11.594568970922927,104.91150463233276,Need follow-up,8:00 AM,2025-06-23 01.02.46.jpg,2025-06-10 01:23:52
Customer 770,0100769,Agriculture/Farming,Talkative and Engaging,Many times,Cambodia Post Bank,1215.49,18M,"Street 107, Phnom Penh",11.529262570939267,104.9167994692234,Need follow-up,8:00 AM,,2025-06-04 01:23:52
Customer 771,0100770,General Retail,Uninterested,Many times,Cambodia Post Bank,4390.96,6M,"Street 187, Phnom Penh",11.596332743338923,104.88468783943397,Repeat visit,3:00 AM,,2025-06-17 01:23:52
Customer 772,0100771,General Retail,Uninterested,Never,Cambodia Post Bank,4964.1,6M,"Street 153, Phnom Penh",11.558618759289644,104.85821658281387,Interested,9:00 AM,,2025-05-31 01:23:52
Customer 773,0100772,Repair Services,Skeptical or Distrustful,Once,ABA,3867.84,24M,"Street 427, Phnom Penh",11.542370824291377,104.93310386874663,No answer,3:00 AM,,2025-05-31 01:23:52
Customer 774,0100773,Tourism/Hospitality,Skeptical or Distrustful,Once,ACLEDA,5905.16,6M,"Street 26, Phnom Penh",11.547888034533257,104.9445029851796,No answer,9:00 AM,,2025-06-12 01:23:52
Customer 775,0100774,Beauty Salon,Interested but Cautious,Many times,ABA,9021.34,6M,"Street 212, Phnom Penh",11.57790601197107,104.86946299834506,Interested,6:00 AM,,2025-06-10 01:23:52
Customer 776,0100775,Beauty Salon,Interested but Cautious,Never,Wing,7136.92,24M,"Street 312, Phnom Penh",11.556323564235846,104.85043760146677,Need follow-up,2:00 AM,2025-06-23 01.03.04.jpg,2025-06-15 01:23:52
Customer 777,0100776,Street Food Stall,Very Welcoming,Never,Wing,8828.33,18M,"Street 93, Phnom Penh",11.5830069822121,104.94018351285075,No answer,3:00 AM,,2025-06-05 01:23:52
Customer 778,0100777,Electronics & Appliances,Busy or in a Hurry,Never,ACLEDA,1311.54,18M,"Street 194, Phnom Penh",11.536465368089315,104.86152536574612,Interested,11:00 AM,,2025-06-21 01:23:52
Customer 779,0100778,Tourism/Hospitality,Uninterested,Once,ABA,3946.16,24M,"Street 452, Phnom Penh",11.586275618860858,104.86568784531981,No answer,4:00 AM,,2025-06-01 01:23:52
Customer 780,0100779,Repair Services,Very Welcoming,Many times,ACLEDA,4709.2,24M,"Street 116, Phnom Penh",11.565241880914579,104.89058945113052,No answer,11:00 AM,2025-06-23 01.02.19.jpg,2025-06-17 01:23:52
Customer 781,0100780,Repair Services,Talkative and Engaging,Never,ACLEDA,9418.25,24M,"Street 312, Phnom Penh",11.558650576769837,104.8653833298365,No answer,11:00 AM,,2025-06-13 01:23:52
Customer 782,0100781,Tourism/Hospitality,Quiet and Reserved,Never,Cambodia Post Bank,2767.71,18M,"Street 88, Phnom Penh",11.557453877406969,104.9228466922638,Need follow-up,9:00 AM,,2025-06-05 01:23:52
Customer 783,0100782,Electronics & Appliances,Busy or in a Hurry,Once,Wing,3628.74,6M,"Street 465, Phnom Penh",11.541837156447697,104.92818778871424,Interested,3:00 AM,,2025-06-18 01:23:52
Customer 784,0100783,Beauty Salon,Skeptical or Distrustful,Once,Wing,9681.58,24M,"Street 163, Phnom Penh",11.553792397027172,104.87659251653015,Interested,10:00 AM,,2025-06-05 01:23:52
Customer 785,0100784,Agriculture/Farming,Talkative and Engaging,Many times,ACLEDA,1377.15,18M,"Street 103, Phnom Penh",11.583991300640847,104.93658485600908,Repeat visit,7:00 AM,,2025-06-02 01:23:52
Customer 786,0100785,Electronics & Appliances,Uninterested,Never,None,4009.05,24M,"Street 171, Phnom Penh",11.5509564535692,104.89196604955967,Interested,8:00 AM,,2025-06-17 01:23:52
Customer 787,0100786,Tourism/Hospitality,Very Welcoming,Once,Cambodia Post Bank,9046.33,6M,"Street 101, Phnom Penh",11.53027302618213,104.88912874784403,Interested,4:00 AM,,2025-06-04 01:23:52
Customer 788,0100787,Agriculture/Farming,Very Welcoming,Many times,ACLEDA,977.38,24M,"Street 250, Phnom Penh",11.577219462559961,104.89030477937746,Need follow-up,5:00 AM,,2025-06-18 01:23:52
Customer 789,0100788,Agriculture/Farming,Talkative and Engaging,Never,ABA,4361.02,6M,"Street 285, Phnom Penh",11.581980883209418,104.91797720531208,Need follow-up,12:00 AM,,2025-06-03 01:23:52
Customer 790,0100789,Fashion & Clothing,Talkative and Engaging,Many times,None,6025.63,6M,"Street 294, Phnom Penh",11.573118962822411,104.92809352166398,Need follow-up,8:00 AM,,2025-05-31 01:23:52
Customer 791,0100790,Electronics & Appliances,Skeptical or Distrustful,Many times,None,9905.03,18M,"Street 384, Phnom Penh",11.554280992104017,104.8544427428304,Repeat visit,10:00 AM,,2025-06-12 01:23:52
Customer 792,0100791,Beauty Salon,Talkative and Engaging,Never,Wing,6702.85,24M,"Street 309, Phnom Penh",11.545137317250159,104.92511838686158,Repeat visit,9:00 AM,2025-06-23 01.02.50.jpg,2025-05-24 01:23:52
Customer 793,0100792,Street Food Stall,Skeptical or Distrustful,Never,ABA,6259.57,6M,"Street 163, Phnom Penh",11.576896987464426,104.91535013386635,Interested,4:00 AM,,2025-06-07 01:23:52
Customer 794,0100793,General Retail,Talkative and Engaging,Many times,None,9483.02,24M,"Street 163, Phnom Penh",11.524594617131255,104.92141553663136,Repeat visit,1:00 AM,,2025-06-06 01:23:52
Customer 795,0100794,Tourism/Hospitality,Hard to Understand,Many times,None,4572.73,18M,"Street 367, Phnom Penh",11.546283709803848,104.92481331176593,Need follow-up,4:00 AM,,2025-06-19 01:23:52
Customer 796,0100795,Fashion & Clothing,Aggressive or Pushy,Once,None,5292.7,12M,"Street 444, Phnom Penh",11.562834664691797,104.94007377885848,Interested,5:00 AM,,2025-06-19 01:23:52
Customer 797,0100796,Agriculture/Farming,Skeptical or Distrustful,Never,ABA,1394.44,12M,"Street 29, Phnom Penh",11.579452492648105,104.8836222306356,Interested,8:00 AM,,2025-06-18 01:23:52
Customer 798,0100797,General Retail,Skeptical or Distrustful,Never,Cambodia Post Bank,9083.54,18M,"Street 412, Phnom Penh",11.598171772032032,104.90845604289329,No answer,1:00 AM,,2025-06-10 01:23:52
Customer 799,0100798,Beauty Salon,Very Welcoming,Once,ACLEDA,6314.78,24M,"Street 77, Phnom Penh",11.57609750368118,104.9259510805905,Interested,12:00 AM,,2025-06-12 01:23:52
Customer 800,0100799,Tourism/Hospitality,Friendly and Open,Once,None,8994.58,18M,"Street 255, Phnom Penh",11.57934518138793,104.90924653532706,Need follow-up,11:00 AM,2025-06-23 01.02.46.jpg,2025-06-11 01:23:52
Customer 801,0100800,Electronics & Appliances,Talkative and Engaging,Many times,ABA,4248.53,18M,"Street 244, Phnom Penh",11.546121510000743,104.85737247084239,Need follow-up,2:00 AM,,2025-06-09 01:23:52
Customer 802,0100801,Fashion & Clothing,Friendly and Open,Never,None,2834.74,18M,"Street 342, Phnom Penh",11.549049687590353,104.92372402692426,No answer,2:00 AM,,2025-06-19 01:23:52
Customer 803,0100802,Street Food Stall,Interested but Cautious,Many times,ACLEDA,1190.58,24M,"Street 1, Phnom Penh",11.541074335056352,104.87701691336348,Interested,2:00 AM,,2025-06-18 01:23:52
Customer 804,0100803,Agriculture/Farming,Busy or in a Hurry,Many times,Cambodia Post Bank,7097.78,6M,"Street 186, Phnom Penh",11.556091525796802,104.86161290028194,Need follow-up,6:00 AM,,2025-06-13 01:23:52
Customer 805,0100804,Beauty Salon,Interested but Cautious,Once,ABA,3520.52,12M,"Street 292, Phnom Penh",11.52647357593416,104.86072244056854,Repeat visit,5:00 AM,,2025-05-28 01:23:52
Customer 806,0100805,Street Food Stall,Very Welcoming,Once,ABA,5545.04,18M,"Street 482, Phnom Penh",11.536603196307045,104.86010348850503,No answer,1:00 AM,,2025-06-10 01:23:52
Customer 807,0100806,General Retail,Friendly and Open,Never,Cambodia Post Bank,4163.45,6M,"Street 374, Phnom Penh",11.573522720398413,104.90229565455772,Need follow-up,4:00 AM,,2025-06-11 01:23:52
Customer 808,0100807,Fashion & Clothing,Busy or in a Hurry,Once,Wing,2945.49,12M,"Street 468, Phnom Penh",11.568087014682051,104.85266667626556,Repeat visit,12:00 AM,,2025-06-22 01:23:52
Customer 809,0100808,Electronics & Appliances,Hard to Understand,Many times,Cambodia Post Bank,9565.44,18M,"Street 210, Phnom Penh",11.540777005933403,104.93434215876545,Interested,3:00 AM,,2025-05-30 01:23:52
Customer 810,0100809,General Retail,Friendly and Open,Many times,Wing,7315.95,24M,"Street 217, Phnom Penh",11.569487624696784,104.88923043852783,No answer,6:00 AM,,2025-06-07 01:23:52
Customer 811,0100810,Restaurant/Café,Talkative and Engaging,Never,None,9769.47,12M,"Street 499, Phnom Penh",11.527466572468988,104.92695801225545,Need follow-up,8:00 AM,,2025-06-01 01:23:52
Customer 812,0100811,Tourism/Hospitality,Busy or in a Hurry,Once,ACLEDA,6055.64,6M,"Street 310, Phnom Penh",11.562579965698625,104.91008121697517,Need follow-up,6:00 AM,,2025-06-23 01:23:52
Customer 813,0100812,Fashion & Clothing,Busy or in a Hurry,Never,Cambodia Post Bank,5079.58,18M,"Street 143, Phnom Penh",11.552898105015036,104.8541563560484,Repeat visit,10:00 AM,,2025-05-29 01:23:52
Customer 814,0100813,Restaurant/Café,Skeptical or Distrustful,Never,Wing,4406.81,6M,"Street 418, Phnom Penh",11.540581545971278,104.85713822494218,Need follow-up,6:00 AM,,2025-05-26 01:23:52
Customer 815,0100814,Electronics & Appliances,Uninterested,Many times,Wing,4779.96,12M,"Street 88, Phnom Penh",11.537883800667696,104.8697847579616,Repeat visit,4:00 AM,,2025-06-08 01:23:52
Customer 816,0100815,Beauty Salon,Very Welcoming,Once,Wing,3632.83,18M,"Street 461, Phnom Penh",11.548812976841216,104.93896974562854,Interested,12:00 AM,,2025-06-12 01:23:52
Customer 817,0100816,Tourism/Hospitality,Interested but Cautious,Once,Cambodia Post Bank,4648.28,12M,"Street 119, Phnom Penh",11.560150304809405,104.85738717325259,Repeat visit,7:00 AM,,2025-06-02 01:23:52
Customer 818,0100817,Fashion & Clothing,Very Welcoming,Many times,None,9343.59,24M,"Street 406, Phnom Penh",11.547424880567286,104.88831112642886,No answer,5:00 AM,,2025-06-05 01:23:52
Customer 819,0100818,Beauty Salon,Friendly and Open,Once,ACLEDA,8989.93,18M,"Street 23, Phnom Penh",11.573099891476767,104.92414399533668,Need follow-up,1:00 AM,,2025-06-18 01:23:52
Customer 820,0100819,Restaurant/Café,Friendly and Open,Many times,ACLEDA,7921.85,6M,"Street 46, Phnom Penh",11.582098229376774,104.8724311007598,Repeat visit,4:00 AM,,2025-05-29 01:23:52
Customer 821,0100820,Tourism/Hospitality,Skeptical or Distrustful,Many times,ABA,3061.39,12M,"Street 73, Phnom Penh",11.538287074596575,104.88493753123585,Interested,8:00 AM,,2025-06-03 01:23:52
Customer 822,0100821,Street Food Stall,Very Welcoming,Once,Wing,7874.86,6M,"Street 55, Phnom Penh",11.526797895170228,104.8876986302733,Need follow-up,5:00 AM,,2025-06-23 01:23:52
Customer 823,0100822,General Retail,Quiet and Reserved,Many times,Cambodia Post Bank,9738.63,6M,"Street 229, Phnom Penh",11.577167421162326,104.9147460688611,Interested,1:00 AM,,2025-06-10 01:23:52
Customer 824,0100823,Beauty Salon,Quiet and Reserved,Many times,Cambodia Post Bank,7952.74,6M,"Street 290, Phnom Penh",11.53031107489681,104.93393579276079,Interested,7:00 AM,,2025-05-25 01:23:52
Customer 825,0100824,Electronics & Appliances,Talkative and Engaging,Once,Wing,9176.75,18M,"Street 212, Phnom Penh",11.599426600010643,104.90633657106484,Interested,10:00 AM,,2025-06-08 01:23:52
Customer 826,0100825,Tourism/Hospitality,Talkative and Engaging,Many times,ACLEDA,1222.85,24M,"Street 262, Phnom Penh",11.54085972128729,104.92630831875512,No answer,5:00 AM,,2025-06-08 01:23:52
Customer 827,0100826,Tourism/Hospitality,Friendly and Open,Once,ABA,7162.48,12M,"Street 262, Phnom Penh",11.548023454949522,104.91116030379722,Need follow-up,11:00 AM,,2025-06-23 01:23:52
Customer 828,0100827,Repair Services,Interested but Cautious,Once,Wing,2293.06,12M,"Street 155, Phnom Penh",11.550817181132242,104.90913037796936,No answer,1:00 AM,,2025-06-12 01:23:52
Customer 829,0100828,Beauty Salon,Busy or in a Hurry,Many times,ACLEDA,1949.34,12M,"Street 376, Phnom Penh",11.565975962263892,104.9152767193076,Repeat visit,5:00 AM,2025-06-23 01.02.27.jpg,2025-05-29 01:23:52
Customer 830,0100829,Fashion & Clothing,Friendly and Open,Many times,Cambodia Post Bank,1881.23,18M,"Street 439, Phnom Penh",11.580921682073962,104.93688214147429,Repeat visit,6:00 AM,,2025-05-27 01:23:52
Customer 831,0100830,Electronics & Appliances,Friendly and Open,Once,Cambodia Post Bank,9260.76,6M,"Street 357, Phnom Penh",11.56542197154688,104.89421301859457,Need follow-up,7:00 AM,,2025-06-10 01:23:52
Customer 832,0100831,Restaurant/Café,Aggressive or Pushy,Once,ABA,7002.04,18M,"Street 412, Phnom Penh",11.527439366352908,104.92355104039692,Repeat visit,1:00 AM,,2025-06-06 01:23:52
Customer 833,0100832,Repair Services,Hard to Understand,Once,ACLEDA,3335.79,24M,"Street 67, Phnom Penh",11.534173737512111,104.86154958424416,Repeat visit,10:00 AM,,2025-05-28 01:23:52
Customer 834,0100833,Agriculture/Farming,Interested but Cautious,Never,ACLEDA,3777.69,6M,"Street 434, Phnom Penh",11.590101589460758,104.91831852259361,Need follow-up,1:00 AM,,2025-06-23 01:23:52
Customer 835,0100834,Repair Services,Busy or in a Hurry,Once,Wing,6096.88,24M,"Street 313, Phnom Penh",11.575371890157381,104.91098470382053,No answer,4:00 AM,,2025-05-30 01:23:52
Customer 836,0100835,Fashion & Clothing,Talkative and Engaging,Many times,Wing,3591.23,24M,"Street 329, Phnom Penh",11.566025869918112,104.9492567908354,Need follow-up,7:00 AM,,2025-06-14 01:23:52
Customer 837,0100836,Tourism/Hospitality,Quiet and Reserved,Many times,None,7963.25,6M,"Street 270, Phnom Penh",11.591659257651024,104.88639928236827,Repeat visit,8:00 AM,,2025-05-24 01:23:52
Customer 838,0100837,Beauty Salon,Hard to Understand,Once,Wing,1911.44,24M,"Street 156, Phnom Penh",11.578041539999452,104.93844699708593,Repeat visit,1:00 AM,,2025-06-11 01:23:52
Customer 839,0100838,Street Food Stall,Aggressive or Pushy,Many times,ABA,6660.68,24M,"Street 226, Phnom Penh",11.546720170014574,104.90652668366764,Repeat visit,2:00 AM,,2025-06-18 01:23:52
Customer 840,0100839,Beauty Salon,Busy or in a Hurry,Once,Wing,4694.9,24M,"Street 391, Phnom Penh",11.586859891686952,104.9152305505324,Repeat visit,11:00 AM,,2025-06-23 01:23:52
Customer 841,0100840,Electronics & Appliances,Hard to Understand,Never,Wing,2555.04,24M,"Street 206, Phnom Penh",11.561391936973607,104.8699844645836,No answer,1:00 AM,,2025-05-31 01:23:52
Customer 842,0100841,Fashion & Clothing,Busy or in a Hurry,Once,ABA,4362.81,6M,"Street 236, Phnom Penh",11.54150197712307,104.86504894217508,Repeat visit,10:00 AM,,2025-06-12 01:23:52
Customer 843,0100842,Fashion & Clothing,Interested but Cautious,Once,Wing,5713.97,6M,"Street 413, Phnom Penh",11.577356364243817,104.92468848374963,Repeat visit,6:00 AM,2025-06-23 01.02.19.jpg,2025-06-12 01:23:52
Customer 844,0100843,Agriculture/Farming,Hard to Understand,Once,None,8839.55,24M,"Street 471, Phnom Penh",11.598107254213357,104.87187076241057,Interested,10:00 AM,,2025-06-18 01:23:52
Customer 845,0100844,Restaurant/Café,Busy or in a Hurry,Once,ABA,1638.8,12M,"Street 431, Phnom Penh",11.531778265102265,104.86315558290548,Need follow-up,4:00 AM,20250615_213943.jpeg,2025-06-03 01:23:52
Customer 846,0100845,Agriculture/Farming,Talkative and Engaging,Many times,ABA,6956.76,6M,"Street 229, Phnom Penh",11.575709866754755,104.87030038299702,No answer,6:00 AM,2025-06-23 01.03.23.jpg,2025-06-11 01:23:52
Customer 847,0100846,General Retail,Friendly and Open,Once,ACLEDA,1918.64,6M,"Street 475, Phnom Penh",11.5902276401559,104.8761101429756,Need follow-up,11:00 AM,,2025-06-19 01:23:52
Customer 848,0100847,Beauty Salon,Aggressive or Pushy,Many times,Cambodia Post Bank,9049.37,6M,"Street 52, Phnom Penh",11.582075873927518,104.86496123105196,Interested,3:00 AM,20250615_214300.jpeg,2025-05-26 01:23:52
Customer 849,0100848,Beauty Salon,Skeptical or Distrustful,Once,Wing,5191.75,24M,"Street 118, Phnom Penh",11.579940238375398,104.8940180058993,No answer,10:00 AM,,2025-06-20 01:23:52
Customer 850,0100849,General Retail,Interested but Cautious,Once,ABA,9227.65,24M,"Street 429, Phnom Penh",11.571348043552497,104.92097807931007,Repeat visit,11:00 AM,,2025-05-30 01:23:52
Customer 851,0100850,Tourism/Hospitality,Very Welcoming,Once,ACLEDA,5727.18,12M,"Street 456, Phnom Penh",11.566806093214192,104.92478908411942,Need follow-up,11:00 AM,,2025-05-24 01:23:52
Customer 852,0100851,Street Food Stall,Very Welcoming,Once,ACLEDA,6017.05,12M,"Street 190, Phnom Penh",11.548847504459435,104.87981426137763,Need follow-up,4:00 AM,,2025-06-19 01:23:52
Customer 853,0100852,Restaurant/Café,Uninterested,Many times,ACLEDA,6610.91,18M,"Street 44, Phnom Penh",11.57678213281215,104.8772453147367,Need follow-up,9:00 AM,,2025-06-07 01:23:52
Customer 854,0100853,General Retail,Very Welcoming,Never,ACLEDA,3325.35,6M,"Street 184, Phnom Penh",11.569773711127489,104.9261383750661,Repeat visit,2:00 AM,2025-06-23 01.02.27.jpg,2025-06-21 01:23:52
Customer 855,0100854,Street Food Stall,Hard to Understand,Once,None,1275.2,12M,"Street 461, Phnom Penh",11.521479593302665,104.89251357498766,Interested,8:00 AM,,2025-06-21 01:23:52
Customer 856,0100855,Agriculture/Farming,Skeptical or Distrustful,Many times,None,4882.56,18M,"Street 380, Phnom Penh",11.5365248127396,104.93810176678593,Interested,8:00 AM,2025-06-23 01.04.26.jpg,2025-06-19 01:23:52
Customer 857,0100856,Fashion & Clothing,Skeptical or Distrustful,Never,ACLEDA,762.99,12M,"Street 393, Phnom Penh",11.563486973207207,104.94508298454453,No answer,11:00 AM,,2025-06-15 01:23:52
Customer 858,0100857,Agriculture/Farming,Talkative and Engaging,Never,Wing,7961.99,12M,"Street 174, Phnom Penh",11.589177217857921,104.8697521383538,Need follow-up,12:00 AM,,2025-05-26 01:23:52
Customer 859,0100858,Street Food Stall,Hard to Understand,Many times,None,7341.3,18M,"Street 420, Phnom Penh",11.526864324235678,104.934126953405,No answer,12:00 AM,,2025-06-16 01:23:52
Customer 860,0100859,Repair Services,Interested but Cautious,Never,ACLEDA,5923.93,18M,"Street 144, Phnom Penh",11.523628190085612,104.8737909949255,No answer,7:00 AM,,2025-06-13 01:23:52
Customer 861,0100860,Electronics & Appliances,Uninterested,Never,Wing,2737.62,6M,"Street 342, Phnom Penh",11.550706015806078,104.93875170730034,Repeat visit,9:00 AM,,2025-06-04 01:23:52
Customer 862,0100861,General Retail,Busy or in a Hurry,Once,ACLEDA,5471.47,6M,"Street 204, Phnom Penh",11.531254634915655,104.86715942628292,Need follow-up,1:00 AM,,2025-06-07 01:23:52
Customer 863,0100862,Agriculture/Farming,Interested but Cautious,Many times,ABA,9509.16,6M,"Street 356, Phnom Penh",11.530713819139104,104.85887411192316,Repeat visit,8:00 AM,,2025-05-25 01:23:52
Customer 864,0100863,Beauty Salon,Busy or in a Hurry,Once,ACLEDA,6855.36,6M,"Street 278, Phnom Penh",11.571855933927594,104.86024365994373,Repeat visit,3:00 AM,,2025-06-20 01:23:52
Customer 865,0100864,Agriculture/Farming,Hard to Understand,Never,ABA,8722.33,12M,"Street 111, Phnom Penh",11.588007602909256,104.86287592693947,No answer,10:00 AM,,2025-06-12 01:23:52
Customer 866,0100865,Street Food Stall,Quiet and Reserved,Never,Wing,9950.98,18M,"Street 182, Phnom Penh",11.52495957511736,104.89868591896796,Need follow-up,12:00 AM,,2025-05-31 01:23:52
Customer 867,0100866,Agriculture/Farming,Friendly and Open,Once,ACLEDA,727.44,12M,"Street 142, Phnom Penh",11.547353832531817,104.88504061434166,Interested,9:00 AM,2025-06-23 01.05.23.jpg,2025-06-14 01:23:52
Customer 868,0100867,Street Food Stall,Talkative and Engaging,Once,Wing,9277.09,12M,"Street 294, Phnom Penh",11.525530078844263,104.94477403035609,Interested,1:00 AM,,2025-06-18 01:23:52
Customer 869,0100868,Fashion & Clothing,Quiet and Reserved,Many times,Cambodia Post Bank,9157.88,24M,"Street 432, Phnom Penh",11.595167281974163,104.92413955579332,Interested,4:00 AM,2025-06-23 01.02.50.jpg,2025-06-03 01:23:52
Customer 870,0100869,Beauty Salon,Friendly and Open,Once,ACLEDA,5967.54,12M,"Street 461, Phnom Penh",11.531011001701819,104.87564650079086,Repeat visit,8:00 AM,,2025-06-23 01:23:52
Customer 871,0100870,Fashion & Clothing,Busy or in a Hurry,Many times,ABA,3106.65,18M,"Street 16, Phnom Penh",11.54146553844531,104.86104598852926,No answer,7:00 AM,2025-06-23 01.02.07.jpg,2025-06-06 01:23:52
Customer 872,0100871,Tourism/Hospitality,Busy or in a Hurry,Many times,Wing,2520.92,12M,"Street 260, Phnom Penh",11.587341379599632,104.89674239061706,No answer,12:00 AM,,2025-06-05 01:23:52
Customer 873,0100872,Tourism/Hospitality,Interested but Cautious,Never,Cambodia Post Bank,1096.12,6M,"Street 127, Phnom Penh",11.58215889010182,104.90954558576571,No answer,6:00 AM,,2025-06-16 01:23:52
Customer 874,0100873,Tourism/Hospitality,Aggressive or Pushy,Never,Cambodia Post Bank,7243.17,18M,"Street 352, Phnom Penh",11.592270408910174,104.91251220020642,Interested,7:00 AM,,2025-06-08 01:23:52
Customer 875,0100874,Restaurant/Café,Interested but Cautious,Once,ACLEDA,7941.21,18M,"Street 469, Phnom Penh",11.58839700778059,104.8555830992527,No answer,1:00 AM,,2025-05-29 01:23:52
Customer 876,0100875,Agriculture/Farming,Interested but Cautious,Once,ACLEDA,8011.3,12M,"Street 238, Phnom Penh",11.532675138451623,104.86814135485207,No answer,11:00 AM,20250615_213943.jpeg,2025-06-09 01:23:52
Customer 877,0100876,Repair Services,Quiet and Reserved,Many times,ACLEDA,9348.92,18M,"Street 278, Phnom Penh",11.591405099025561,104.91212164675471,No answer,11:00 AM,,2025-06-23 01:23:52
Customer 878,0100877,Electronics & Appliances,Aggressive or Pushy,Never,Cambodia Post Bank,2206.62,24M,"Street 87, Phnom Penh",11.53278647984181,104.88858891367967,Interested,3:00 AM,,2025-05-29 01:23:52
Customer 879,0100878,Restaurant/Café,Uninterested,Once,Wing,3036.42,24M,"Street 138, Phnom Penh",11.585449437376509,104.87878103007142,No answer,5:00 AM,,2025-05-26 01:23:52
Customer 880,0100879,Fashion & Clothing,Friendly and Open,Never,ACLEDA,2484.05,12M,"Street 485, Phnom Penh",11.543664459934618,104.93262508565641,Repeat visit,3:00 AM,,2025-06-09 01:23:52
Customer 881,0100880,Fashion & Clothing,Talkative and Engaging,Never,Wing,4676.98,24M,"Street 36, Phnom Penh",11.545849430875696,104.8756972426993,No answer,7:00 AM,2025-06-23 01.02.39.jpg,2025-06-14 01:23:52
Customer 882,0100881,General Retail,Quiet and Reserved,Once,ABA,3164.59,18M,"Street 107, Phnom Penh",11.53762631672786,104.93272720550937,No answer,3:00 AM,,2025-05-30 01:23:52
Customer 883,0100882,Repair Services,Talkative and Engaging,Never,ACLEDA,1924.13,6M,"Street 170, Phnom Penh",11.597237590434027,104.94918550644262,Need follow-up,10:00 AM,,2025-06-06 01:23:52
Customer 884,0100883,Street Food Stall,Interested but Cautious,Never,Cambodia Post Bank,8216.5,18M,"Street 206, Phnom Penh",11.5570091292824,104.87554367938621,Interested,11:00 AM,,2025-06-05 01:23:52
Customer 885,0100884,Tourism/Hospitality,Very Welcoming,Many times,ACLEDA,6463.12,12M,"Street 233, Phnom Penh",11.59073089730805,104.88468759634355,Interested,11:00 AM,,2025-05-31 01:23:52
Customer 886,0100885,Street Food Stall,Very Welcoming,Many times,ABA,7438.25,12M,"Street 93, Phnom Penh",11.524368901536977,104.89260280265566,No answer,5:00 AM,,2025-05-28 01:23:52
Customer 887,0100886,General Retail,Hard to Understand,Never,None,8134.69,6M,"Street 217, Phnom Penh",11.56089539427716,104.86258086907009,Need follow-up,1:00 AM,,2025-06-12 01:23:52
Customer 888,0100887,Repair Services,Skeptical or Distrustful,Once,ACLEDA,3805.0,24M,"Street 313, Phnom Penh",11.53823794364962,104.87622352061828,Interested,9:00 AM,,2025-05-28 01:23:52
Customer 889,0100888,Fashion & Clothing,Hard to Understand,Many times,None,2802.9,18M,"Street 182, Phnom Penh",11.583406074896315,104.85305049375236,Interested,11:00 AM,,2025-05-31 01:23:52
Customer 890,0100889,Beauty Salon,Quiet and Reserved,Once,ACLEDA,5712.8,24M,"Street 204, Phnom Penh",11.593758868730653,104.89155965584028,Interested,2:00 AM,2025-06-23 01.04.26.jpg,2025-06-11 01:23:52
